"","ENSG00000000003","ENSG00000000005","ENSG00000000419","ENSG00000000457","ENSG00000000460","ENSG00000000938","ENSG00000000971","ENSG00000001036","ENSG00000001084","ENSG00000001167","ENSG00000001460","ENSG00000001461","ENSG00000001497","ENSG00000001561","ENSG00000001617","ENSG00000001626","ENSG00000001629","ENSG00000001631","ENSG00000002016","ENSG00000002330","ENSG00000002549","ENSG00000002586","ENSG00000002587","ENSG00000002726","ENSG00000002745","ENSG00000002746","ENSG00000002822","ENSG00000002834","ENSG00000002919","ENSG00000002933","ENSG00000003056","ENSG00000003096","ENSG00000003137","ENSG00000003147","ENSG00000003249","ENSG00000003393","ENSG00000003400","ENSG00000003402","ENSG00000003436","ENSG00000003509","ENSG00000003756","ENSG00000003987","ENSG00000003989","ENSG00000004059","ENSG00000004139","ENSG00000004142","ENSG00000004399","ENSG00000004455","ENSG00000004468","ENSG00000004478"
"CAL120",7.63930036774268,2.96297050023585,10.3806032877372,3.6131345438788,3.37955681918976,3.32246052379722,3.56597897282284,8.23676209013151,5.23304537772834,5.37170854231037,3.59685528912167,7.64363026745649,4.54297611185769,4.49374861278598,4.11598880244556,3.02408632949567,8.29574900203972,3.64576123334731,3.77702050108094,7.46468499154801,6.45426027689307,9.46092474473312,3.51866246482869,3.3483044441631,3.74358048306471,2.65975962508484,5.20428750056333,4.9334801701111,4.77201059246137,2.97551629414327,9.7842695859318,6.21670259613549,3.43823360427365,4.07794768666187,3.68974299308465,3.94713025525101,2.83333914133402,5.46109639775298,12.0898935828048,5.81145529174572,8.54833847644484,3.26644961335908,3.77002707157821,8.40602902373173,3.79968399634778,7.278104393696,3.60345169197049,6.76552192353391,2.92945670278686,5.53902325773767
"DMS114",7.54923202065835,2.77582142260157,11.7987794697786,4.06660692658542,3.72960660440721,3.15191243982605,7.83127198033822,6.57822868079347,5.81148279932877,7.21548546179275,3.75189798223228,5.71980895192703,4.30127925668594,6.03600010753574,3.95150819824788,3.12239904026371,8.31611443966529,3.86170294753049,3.91750773579838,7.47857568252776,6.7411424637521,9.47714876073788,3.04383075663766,3.20901014613968,2.72814624747554,2.7857418530072,6.13972450667351,4.5260961824766,5.24866782089346,3.03721402872973,8.84469902245334,3.23948817247399,3.07113725542271,4.54355965980236,4.06570040481359,4.01524400266362,2.78758673335047,4.67799899434324,3.46860917068859,6.48632966332677,8.73449924841082,3.44182507724683,2.96771387540008,8.87608965782783,3.85178637515393,7.37322191435812,3.41065885115603,6.32002943322402,2.91427467947668,6.33434450615671
"CAL51",8.71390166447296,2.64213842021143,9.88317257583071,3.95362901944493,3.23595220420166,3.23895978380962,2.92938971261224,8.25877476577395,5.42767934832929,5.12101996507561,3.94511135251756,5.60324724841766,3.82779135886215,4.54823044110009,4.4380628487737,2.89484527489789,7.93828356062539,3.81147631627373,3.59468128142315,7.42281400377401,5.65843710932786,10.0131987055297,3.92311185148084,3.21391371416762,2.69807646832424,2.9013367118046,5.39327272392418,4.14501968552248,4.64724401264012,2.84805714550382,8.86814379778747,3.05211041421742,3.07955882785265,3.03016428731961,4.00580970380744,3.78405286766826,3.18922100401836,5.52794912387863,10.2399132977862,5.67734240457849,8.36322651811726,3.10320289837597,2.94920819772525,8.80852923842631,3.97999802836764,7.34721707271582,8.43169552535723,6.51265635813523,2.83194818141936,4.45282503319684
"A2058",7.07300644266747,2.88752733252568,9.77436753471144,4.27024252852866,3.81173357736253,3.29616664652801,4.3355714842759,8.90900881994305,5.65523943334575,5.47685248181766,3.75367332805977,7.33502827384739,3.81567333235921,3.21714271540383,3.8878781230383,2.95432471685187,8.45555559508876,3.77430531723236,3.44846980621833,6.54934997262584,6.92744077174696,9.58191316389237,3.73332340598139,2.95765609790993,2.76289235485658,2.73147492497421,8.90041092992125,4.07474635839624,5.09945283630773,2.78169832159129,10.0005248956598,5.84765936949255,2.89436537275409,5.11139607309242,4.54503125674836,3.79766211476243,2.93571639205422,4.80235777034168,6.94030558112329,5.51680278523169,7.95141344771131,3.23467967387246,7.11437101735888,8.34889020727942,3.38291514325546,7.40506209444398,4.77833775513816,6.90651609177679,2.95130409956035,4.39553699299962
"CESS",3.28472060239622,2.82642904708555,10.2563427011619,5.96143691122208,3.01179989418906,9.55898195482111,3.20760216324849,6.78714266459096,5.6196583504981,5.11087350036368,3.23828981603386,5.37930720167509,3.72499341956695,5.66142741538074,3.56141503790229,2.95055867610612,8.47495250283397,4.05087531456835,3.47151730020371,6.3507774833602,8.55760904858562,8.27881266376978,2.8531286492357,4.09284242706939,2.82152199811954,2.72305187234961,9.22488366478655,4.19556584394318,7.56943772578545,3.23316953775028,10.0755986914639,6.78559183198659,2.98935337277509,4.58494274401104,3.6980733830791,3.61207058302536,3.39735468078988,7.98023679108036,5.96862483303066,5.87760332909253,8.79429252081614,3.21500465539321,2.9412994086227,8.39963725750025,3.87110364031452,7.09304694933513,3.03365006868879,6.38995932985997,8.88109474519771,3.65481381612543
"HCC1419",3.4562493663002,3.28910951538218,11.5657324268392,5.56075915118329,3.57121816019735,3.3704558403163,3.11395249051425,7.70455523890637,5.47915281708679,5.01613493063831,3.48821970375113,8.29093374525864,4.24679635105421,3.75272146569911,4.75196288785639,3.15964018221798,8.65271640641789,3.75951299071072,3.33660425625895,8.77610315083824,7.59497794980088,6.94391587007717,3.09884987359855,3.28058806163621,2.94547036002088,2.71632062266322,5.03324747423021,4.75238815560372,7.81112812067979,3.12345817260674,9.38171479912602,5.47498122771109,3.04030846995859,7.07418760539125,4.14787260961583,3.62410579038441,2.84228668459829,5.25310583730227,3.36738888920386,5.21759600502652,7.99165306357001,3.50349067743829,4.5606561703236,8.93547644029846,3.37993395363442,6.97271497703661,5.32834643023874,5.90092976660371,3.20121983677956,6.2394960467052
"ETK1",9.0251762681226,3.09654597901797,10.0665597863238,3.87691925266439,3.66676096381894,3.27478979206513,4.01342861109294,9.49072429632999,7.77233311057722,4.76995976216172,4.13746808808643,7.20390437628215,3.88006315253535,5.74697926252013,3.72589382835578,2.93926345921605,8.6393390992846,3.2228924880434,3.27018665031463,7.65063742944175,6.17018914244336,9.86393414186868,4.44965253326147,4.12538829151259,2.86014498525209,2.79577846620572,6.28939146075843,4.97204015175792,5.24576564326979,3.0268463400405,9.78753247463714,3.384981014713,2.93270329071493,6.58723348255393,3.8818382984566,3.61483761868924,3.34107380987818,5.12221182517681,9.98849658566448,5.41685423149009,7.35809721786898,3.28273996017181,3.04205492444636,10.0434704026624,3.31657491412116,7.6306051530535,3.59403123763976,5.95999809820808,3.29195728790603,4.6695274046196
"C32HUMANMELANOMA",5.53795466782526,2.73445958652153,9.89243290123568,3.3418208035465,3.06524701603363,3.25164093589496,3.29825555446927,8.11209055323787,5.23172057401182,4.34543767296551,4.21633826737906,8.42554912184715,3.82494385922034,3.34210967007772,3.91952853827564,3.00802081660025,8.76155267569067,3.7281899151088,3.4159371592895,7.58163625707176,6.65870418786809,10.2364445159613,3.47897443740131,3.48307369371163,2.82976391399911,2.66675403379398,9.47682261492905,4.20112562013804,5.2150688532818,3.07378030532632,9.18487872355865,3.37905114938146,3.46931538805073,3.5255918127752,4.46547484606787,4.40866855126749,2.90694561945249,5.27596663489987,4.97911814953028,5.1498133363014,8.82310369592886,3.42691673419483,3.20449900904071,10.3842895735229,3.65416539698029,7.53877934966192,6.89275051198692,6.66578999242722,2.77284009249154,4.45169016330751
"DSH1",9.17152675857129,2.85327052075064,10.1134343948331,4.58078884297668,3.88218526834234,3.50585926757625,5.20726378971987,7.80109476107866,7.37933053274,5.19365096160698,3.81773710808785,7.46482082171018,3.71308631381973,4.58252104485549,6.74961669971512,3.16773248783602,8.69628968040534,4.14851481537795,3.58842131079687,6.85475302937595,5.7004495199196,9.26020066852378,7.02191699034774,3.29769905591135,2.85327290091376,2.57910364682889,5.28555069821363,5.11286237499765,4.93380647953899,2.80539635724874,9.53878246408534,4.19351782349545,3.24197583996721,7.43257857385828,3.60817916797651,3.43120072533185,3.18694977831425,4.92529904037158,3.40174146434612,5.22630752621757,8.46066478110724,3.43553467364598,4.98770663485748,8.65372567619398,3.91969538536505,7.16649381431806,3.30167962871398,6.111769284054,3.52002807037026,4.97822153578565
"HT1197",7.07947718288654,2.82237595448471,9.51202217305466,4.02668904683488,3.60825623247546,3.46303651314843,3.43306308166652,9.16455870396102,4.58405333605185,4.98893557613878,4.26995170500872,7.8846770651076,3.46645596835858,3.72192042591506,3.68520833559383,2.81209540817209,8.27853917502663,3.45885893040547,3.66397671370185,6.34855509370939,6.60217122466556,11.0131576273832,3.48158801518814,3.96188823732056,2.83482129158895,2.64736410248841,4.99974761507393,5.50459487798958,4.97040010697603,3.02576563244135,9.16466690432829,3.43786387516156,3.66013819356939,4.99707685566414,3.41599643087444,3.88307734422328,2.86631925624736,6.04527773313964,10.9903281404711,5.30229252055444,7.60566056027153,3.45480649551668,5.44936180926511,8.4857494540984,2.96433132736398,6.15261547021077,6.86266890011184,5.73135761634623,3.1161386306862,4.40680749396424
"MDAMB157",5.50257203794347,3.10436217759994,10.9210122974425,4.48342954028089,3.6961983259853,3.27152006218934,3.03864205622852,7.33906311437205,4.96226881565672,5.07054731752957,3.6174420076198,8.16919608172025,4.47996340354762,3.68965247800378,4.03272830294695,2.96304179873576,7.88429850132092,3.59037975489813,3.39778928594261,7.23761579248225,5.67608028240416,8.83645627317924,3.33028344330356,3.38955681576499,2.90982146197771,2.74478437489263,5.52013645128779,3.99174156225498,4.13779580050214,3.18880170148599,8.46475419620165,3.47435678984895,3.34884484963247,6.74842194037108,4.17644003708647,3.3931080216539,2.74574130362393,5.63047260294355,3.35232677748887,5.43966297929884,8.50332157743122,3.49457181597123,3.02188117560246,8.97758481493529,3.75608202966397,7.30667814920349,6.24309020090343,7.43045646802937,3.17495012315313,5.07853503890303
