"n","p","scenario","beta_AM","prob_x2"
300,100,"(300, 100)",0.1,0.25
300,100,"(300, 100)",0.2,0.33
300,100,"(300, 100)",0.3,0.41
300,100,"(300, 100)",0.4,0.54
300,100,"(300, 100)",0.5,0.71
300,100,"(300, 100)",0.6,0.75
300,100,"(300, 100)",0.7,0.85
300,100,"(300, 100)",0.8,0.94
300,100,"(300, 100)",0.9,0.99
300,100,"(300, 100)",1,0.96
300,100,"(300, 100)",1.1,0.99
300,100,"(300, 100)",1.2,1
300,100,"(300, 100)",1.3,1
300,100,"(300, 100)",1.4,1
300,100,"(300, 100)",1.5,1
300,1000,"(300, 1000)",0.1,0.03
300,1000,"(300, 1000)",0.2,0.07
300,1000,"(300, 1000)",0.3,0.05
300,1000,"(300, 1000)",0.4,0.16
300,1000,"(300, 1000)",0.5,0.23
300,1000,"(300, 1000)",0.6,0.35
300,1000,"(300, 1000)",0.7,0.45
300,1000,"(300, 1000)",0.8,0.58
300,1000,"(300, 1000)",0.9,0.67
300,1000,"(300, 1000)",1,0.74
300,1000,"(300, 1000)",1.1,0.83
300,1000,"(300, 1000)",1.2,0.93
300,1000,"(300, 1000)",1.3,0.96
300,1000,"(300, 1000)",1.4,0.98
300,1000,"(300, 1000)",1.5,0.97
600,200,"(600, 200)",0.1,0.17
600,200,"(600, 200)",0.2,0.22
600,200,"(600, 200)",0.3,0.48
600,200,"(600, 200)",0.4,0.57
600,200,"(600, 200)",0.5,0.7
600,200,"(600, 200)",0.6,0.84
600,200,"(600, 200)",0.7,0.95
600,200,"(600, 200)",0.8,0.96
600,200,"(600, 200)",0.9,1
600,200,"(600, 200)",1,1
600,200,"(600, 200)",1.1,1
600,200,"(600, 200)",1.2,1
600,200,"(600, 200)",1.3,1
600,200,"(600, 200)",1.4,1
600,200,"(600, 200)",1.5,1
400,1000,"(400, 1000)",0.1,0.03
400,1000,"(400, 1000)",0.2,0.07
400,1000,"(400, 1000)",0.3,0.09
400,1000,"(400, 1000)",0.4,0.2
400,1000,"(400, 1000)",0.5,0.3
400,1000,"(400, 1000)",0.6,0.45
400,1000,"(400, 1000)",0.7,0.54
400,1000,"(400, 1000)",0.8,0.68
400,1000,"(400, 1000)",0.9,0.79
400,1000,"(400, 1000)",1,0.83
400,1000,"(400, 1000)",1.1,0.92
400,1000,"(400, 1000)",1.2,0.98
400,1000,"(400, 1000)",1.3,1
400,1000,"(400, 1000)",1.4,1
400,1000,"(400, 1000)",1.5,1
500,1500,"(500, 1500)",0.1,0.05
500,1500,"(500, 1500)",0.2,0.03
500,1500,"(500, 1500)",0.3,0.09
500,1500,"(500, 1500)",0.4,0.22
500,1500,"(500, 1500)",0.5,0.37
500,1500,"(500, 1500)",0.6,0.45
500,1500,"(500, 1500)",0.7,0.64
500,1500,"(500, 1500)",0.8,0.8
500,1500,"(500, 1500)",0.9,0.87
500,1500,"(500, 1500)",1,0.94
500,1500,"(500, 1500)",1.1,0.96
500,1500,"(500, 1500)",1.2,0.97
500,1500,"(500, 1500)",1.3,0.98
500,1500,"(500, 1500)",1.4,0.99
500,1500,"(500, 1500)",1.5,0.99
600,2000,"(600, 2000)",0.1,0.02
600,2000,"(600, 2000)",0.2,0.05
600,2000,"(600, 2000)",0.3,0.07
600,2000,"(600, 2000)",0.4,0.12
600,2000,"(600, 2000)",0.5,0.33
600,2000,"(600, 2000)",0.6,0.6
600,2000,"(600, 2000)",0.7,0.73
600,2000,"(600, 2000)",0.8,0.87
600,2000,"(600, 2000)",0.9,0.93
600,2000,"(600, 2000)",1,0.97
600,2000,"(600, 2000)",1.1,0.99
600,2000,"(600, 2000)",1.2,1
600,2000,"(600, 2000)",1.3,1
600,2000,"(600, 2000)",1.4,1
600,2000,"(600, 2000)",1.5,1
